classification,productId,productName,insurer,supportStatus,economicsStatus,kernel,calculatorCoverage,reviewCoverage,templateCoverage,matchedCalculatorNeedle,matchedReviewNeedle,matchedTemplateNeedle
covered,aia-elite-secure-income-5-pay,AIA Elite Secure Income - 5 Pay,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia elite secure income - 5 pay + death benefit today,aia elite secure income - 5 pay + death benefit today,aia elite secure income - 5 pay + kernel:current-death-benefit-estimate
covered,aia-elite-secure-income-5-pay,AIA Elite Secure Income - 5 Pay,AIA Singapore,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,aia elite secure income - 5 pay + ti benefit today,aia elite secure income - 5 pay + ti benefit today,aia elite secure income - 5 pay + kernel:current-ti-benefit-estimate
covered,aia-elite-secure-income-single-premium,AIA Elite Secure Income - Single Premium,AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia elite secure income - single premium + accidental death benefit today,aia elite secure income - single premium + accidental death benefit today,aia elite secure income - single premium + kernel:current-accidental-death-benefit-estimate
covered,aia-elite-secure-income-single-premium,AIA Elite Secure Income - Single Premium,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia elite secure income - single premium + death benefit today,aia elite secure income - single premium + death benefit today,aia elite secure income - single premium + kernel:current-death-benefit-estimate
covered,aia-elite-secure-income-single-premium,AIA Elite Secure Income - Single Premium,AIA Singapore,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,aia elite secure income - single premium + ti benefit today,aia elite secure income - single premium + ti benefit today,aia elite secure income - single premium + kernel:current-ti-benefit-estimate
covered,aia-invest-easy-cash-srs,AIA Invest Easy (Cash/SRS),AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia invest easy (cash/srs) + accidental death benefit today,aia invest easy (cash/srs) + accidental death benefit today,aia invest easy (cash/srs) + kernel:current-accidental-death-benefit-estimate
covered,aia-invest-easy-cash-srs,AIA Invest Easy (Cash/SRS),AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia invest easy (cash/srs) + death benefit today,aia invest easy (cash/srs) + death benefit today,aia invest easy (cash/srs) + kernel:current-death-benefit-estimate
covered,aia-invest-easy-cpf,AIA Invest Easy (CPF),AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia invest easy + accidental death benefit today,aia invest easy + accidental death benefit today,aia invest easy + kernel:current-accidental-death-benefit-estimate
covered,aia-invest-easy-cpf,AIA Invest Easy (CPF),AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia invest easy + death benefit today,aia invest easy + death benefit today,aia invest easy + kernel:current-death-benefit-estimate
covered,aia-platinum-retirement-elite,AIA Platinum Retirement Elite,AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia-platinum-retirement-elite + accidental death benefit today,aia platinum retirement elite + accidental death benefit today,aia-platinum-retirement-elite + kernel:current-accidental-death-benefit-estimate
covered,aia-platinum-retirement-elite,AIA Platinum Retirement Elite,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia-platinum-retirement-elite + death benefit today,aia platinum retirement elite + death benefit today,aia-platinum-retirement-elite + kernel:current-death-benefit-estimate
covered,aia-platinum-retirement-elite,AIA Platinum Retirement Elite,AIA Singapore,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,aia-platinum-retirement-elite + ti benefit today,aia platinum retirement elite + ti benefit today,aia-platinum-retirement-elite + kernel:current-ti-benefit-estimate
covered,aia-platinum-wealth-elite-2,AIA Platinum Wealth Elite 2.0,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia platinum wealth elite 2.0 + death benefit today,aia platinum wealth elite 2.0 + death benefit today,aia platinum wealth elite 2.0 + kernel:current-death-benefit-estimate
covered,aia-platinum-wealth-elite-2,AIA Platinum Wealth Elite 2.0,AIA Singapore,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,aia platinum wealth elite 2.0 + ti benefit today,aia platinum wealth elite 2.0 + ti benefit today,aia platinum wealth elite 2.0 + kernel:current-ti-benefit-estimate
covered,aia-platinum-wealth-legacy,AIA Platinum Wealth Legacy,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia-platinum-wealth-legacy + death benefit today,aia platinum wealth legacy + death benefit today,aia-platinum-wealth-legacy + kernel:current-death-benefit-estimate
covered,aia-platinum-wealth-legacy,AIA Platinum Wealth Legacy,AIA Singapore,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,aia-platinum-wealth-legacy + ti benefit today,aia platinum wealth legacy + ti benefit today,aia-platinum-wealth-legacy + kernel:current-ti-benefit-estimate
covered,aia-platinum-wealth-venture-2,AIA Platinum Wealth Venture 2.0,AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia platinum wealth venture 2.0 + accidental death benefit today,aia platinum wealth venture 2.0 + accidental death benefit today,aia platinum wealth venture 2.0 + kernel:current-accidental-death-benefit-estimate
covered,aia-platinum-wealth-venture-2,AIA Platinum Wealth Venture 2.0,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia platinum wealth venture 2.0 + death benefit today,aia platinum wealth venture 2.0 + death benefit today,aia platinum wealth venture 2.0 + kernel:current-death-benefit-estimate
covered,aia-pro-achiever-3,AIA Pro Achiever 3.0,AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia pro achiever 3.0 + accidental death benefit today,aia pro achiever 3.0 + accidental death benefit today,aia pro achiever 3.0 + kernel:current-accidental-death-benefit-estimate
covered,aia-pro-achiever-3,AIA Pro Achiever 3.0,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia pro achiever 3.0 + death benefit today,aia pro achiever 3.0 + death benefit today,aia pro achiever 3.0 + kernel:current-death-benefit-estimate
covered,aia-pro-lifetime-protector-ii,AIA Pro Lifetime Protector (II),AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia pro lifetime protector (ii) + death benefit today,aia pro lifetime protector (ii) + death benefit today,aia pro lifetime protector (ii) + kernel:current-death-benefit-estimate
covered,aia-wealth-venture,AIA Wealth Venture,AIA Singapore,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,aia-wealth-venture + accidental death benefit today,aia wealth venture + accidental death benefit today,aia-wealth-venture + kernel:current-accidental-death-benefit-estimate
covered,aia-wealth-venture,AIA Wealth Venture,AIA Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,aia-wealth-venture + death benefit today,aia wealth venture + death benefit today,aia-wealth-venture + kernel:current-death-benefit-estimate
covered,income-astralink-va2,AstraLink (VA2),Income Insurance,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,income-astralink-va2 + accidental death benefit today,astralink (va2) + current accidental-death estimate,income-astralink-va2 + kernel:current-accidental-death-benefit-estimate
covered,income-astralink-va2,AstraLink (VA2),Income Insurance,supported,supported,kernel:current-accidental-tpd-benefit-estimate,true,true,true,income-astralink-va2 + accidental tpd benefit today,astralink (va2) + current accidental-tpd estimate,income-astralink-va2 + kernel:current-accidental-tpd-benefit-estimate
covered,income-astralink-va2,AstraLink (VA2),Income Insurance,supported,supported,kernel:current-death-benefit-estimate,true,true,true,income-astralink-va2 + death benefit today,astralink (va2) + death benefit today,income-astralink-va2 + kernel:current-death-benefit-estimate
covered,income-astralink-va2,AstraLink (VA2),Income Insurance,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,income-astralink-va2 + ti benefit today,astralink (va2) + ti benefit today,income-astralink-va2 + kernel:current-ti-benefit-estimate
covered,income-astralink-va2,AstraLink (VA2),Income Insurance,supported,supported,kernel:current-tpd-benefit-estimate,true,true,true,income-astralink-va2 + tpd benefit today,astralink (va2) + tpd benefit today,income-astralink-va2 + kernel:current-tpd-benefit-estimate
covered,etiqa-dash-pet-plus,Dash PET Plus,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-dash-pet-plus + death benefit today,dash pet plus + death benefit today,etiqa-dash-pet-plus + kernel:current-death-benefit-estimate
covered,etiqa-dash-pet-plus,Dash PET Plus,Etiqa,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,etiqa-dash-pet-plus + ti benefit today,dash pet plus + ti benefit today,etiqa-dash-pet-plus + kernel:current-ti-benefit-estimate
covered,fwd-invest-first-horizon,FWD Invest First Horizon,FWD Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,fwd-invest-first-horizon + death benefit today,fwd invest first horizon + death benefit today,fwd-invest-first-horizon + kernel:current-death-benefit-estimate
covered,fwd-invest-first-horizon,FWD Invest First Horizon,FWD Singapore,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,fwd-invest-first-horizon + ti benefit today,fwd invest first horizon + ti benefit today,fwd-invest-first-horizon + kernel:current-ti-benefit-estimate
covered,fwd-invest-first-max,FWD Invest First Max,FWD Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,fwd-invest-first-max + death benefit today,fwd invest first max + current-state death-benefit estimate,fwd-invest-first-max + kernel:current-death-benefit-estimate
covered,fwd-invest-first-summit,FWD Invest First Summit,FWD Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,fwd-invest-first-summit + death benefit today,fwd invest first summit + current-state death-benefit estimate,fwd-invest-first-summit + kernel:current-death-benefit-estimate
covered,fwd-invest-flexi-elite,FWD Invest Flexi Elite,FWD Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,fwd-invest-flexi-elite + death benefit today,fwd invest flexi elite + death benefit today,fwd-invest-flexi-elite + kernel:current-death-benefit-estimate
covered,fwd-invest-flexi-vii,FWD Invest Flexi VII,FWD Singapore,supported,supported,kernel:current-death-benefit-estimate,true,true,true,fwd-invest-flexi-vii + death benefit today,fwd invest flexi vii + death benefit today,fwd-invest-flexi-vii + kernel:current-death-benefit-estimate
covered,fwd-invest-flexi-vii,FWD Invest Flexi VII,FWD Singapore,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,fwd-invest-flexi-vii + ti benefit today,fwd invest flexi vii + ti benefit today,fwd-invest-flexi-vii + kernel:current-ti-benefit-estimate
covered,fwd-invest-goal-1,FWD Invest Goal 1,FWD,supported,supported,kernel:current-death-benefit-estimate,true,true,true,fwd-invest-goal-1 + death benefit today,fwd invest goal 1 + death benefit today,fwd-invest-goal-1 + kernel:current-death-benefit-estimate
covered,hsbc-life-goal-builder-ii,Goal Builder II,HSBC Life,supported,supported,kernel:current-accidental-death-benefit-estimate,true,true,true,hsbc-life-goal-builder-ii + accidental death benefit today,goal builder ii + current accidental-death estimate,hsbc-life-goal-builder-ii + kernel:current-accidental-death-benefit-estimate
covered,hsbc-life-goal-builder-ii,Goal Builder II,HSBC Life,supported,supported,kernel:current-death-benefit-estimate,true,true,true,hsbc-life-goal-builder-ii + death benefit today,goal builder ii + current-state death-benefit estimate,hsbc-life-goal-builder-ii + kernel:current-death-benefit-estimate
covered,hsbc-life-goal-builder-ii,Goal Builder II,HSBC Life,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,hsbc-life-goal-builder-ii + ti benefit today,goal builder ii + ti benefit today,hsbc-life-goal-builder-ii + kernel:current-ti-benefit-estimate
covered,great-eastern-great-invest-advantage-rsp,GREAT Invest Advantage (RSP),Great Eastern,supported,supported,kernel:current-death-benefit-estimate,true,true,true,great invest advantage + death benefit today,great invest advantage + death benefit today,great invest advantage + kernel:current-death-benefit-estimate
covered,great-eastern-great-invest-advantage-rsp,GREAT Invest Advantage (RSP),Great Eastern,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,great invest advantage + ti benefit today,great invest advantage + ti benefit today,great invest advantage + kernel:current-ti-benefit-estimate
covered,great-eastern-great-invest-advantage-sp,GREAT Invest Advantage (SP),Great Eastern,supported,supported,kernel:current-death-benefit-estimate,true,true,true,great-eastern-great-invest-advantage-sp + death benefit today,great invest advantage (sp) + death benefit today,great-eastern-great-invest-advantage-sp + kernel:current-death-benefit-estimate
covered,great-eastern-great-invest-advantage-sp,GREAT Invest Advantage (SP),Great Eastern,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,great-eastern-great-invest-advantage-sp + ti benefit today,great invest advantage (sp) + ti benefit today,great-eastern-great-invest-advantage-sp + kernel:current-ti-benefit-estimate
covered,great-eastern-great-invest-advantage-2-rsp,GREAT Invest Advantage 2 (RSP),Great Eastern,supported,supported,kernel:current-death-benefit-estimate,true,true,true,great invest advantage 2 + death benefit today,great invest advantage 2 + death benefit today,great invest advantage 2 + kernel:current-death-benefit-estimate
covered,great-eastern-great-invest-advantage-2-rsp,GREAT Invest Advantage 2 (RSP),Great Eastern,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,great invest advantage 2 + ti benefit today,great invest advantage 2 + ti benefit today,great invest advantage 2 + kernel:current-ti-benefit-estimate
covered,great-eastern-great-invest-advantage-2-sp,GREAT Invest Advantage 2 (SP),Great Eastern,supported,supported,kernel:current-death-benefit-estimate,true,true,true,great-eastern-great-invest-advantage-2-sp + death benefit today,great invest advantage 2 (sp) + death benefit today,great-eastern-great-invest-advantage-2-sp + kernel:current-death-benefit-estimate
covered,great-eastern-great-invest-advantage-2-sp,GREAT Invest Advantage 2 (SP),Great Eastern,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,great-eastern-great-invest-advantage-2-sp + ti benefit today,great invest advantage 2 (sp) + ti benefit today,great-eastern-great-invest-advantage-2-sp + kernel:current-ti-benefit-estimate
covered,great-eastern-great-life-advantage-4,GREAT Life Advantage 4,Great Eastern,supported,supported,kernel:current-death-benefit-estimate,true,true,true,great-eastern-great-life-advantage-4 + death benefit today,great life advantage 4 + death benefit today,great-eastern-great-life-advantage-4 + kernel:current-death-benefit-estimate
covered,great-eastern-great-life-advantage-4,GREAT Life Advantage 4,Great Eastern,supported,supported,kernel:current-residual-death-benefit-after-tpd-estimate,true,true,true,great-eastern-great-life-advantage-4 + residual death benefit after a tpd claim today,great life advantage 4 + death benefit after tpd claim today,great-eastern-great-life-advantage-4 + kernel:current-residual-death-benefit-after-tpd-estimate
covered,great-eastern-great-life-advantage-4,GREAT Life Advantage 4,Great Eastern,supported,supported,kernel:current-ti-benefit-after-tpd-estimate,true,true,true,great-eastern-great-life-advantage-4 + ti benefit after a tpd claim today,great life advantage 4 + ti benefit after tpd claim today,great-eastern-great-life-advantage-4 + kernel:current-ti-benefit-after-tpd-estimate
covered,great-eastern-great-life-advantage-4,GREAT Life Advantage 4,Great Eastern,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,great-eastern-great-life-advantage-4 + ti benefit today,great life advantage 4 + ti benefit today,great-eastern-great-life-advantage-4 + kernel:current-ti-benefit-estimate
covered,great-eastern-great-life-advantage-4,GREAT Life Advantage 4,Great Eastern,supported,supported,kernel:current-tpd-benefit-estimate,true,true,true,great-eastern-great-life-advantage-4 + tpd benefit today,great life advantage 4 + tpd benefit today,great-eastern-great-life-advantage-4 + kernel:current-tpd-benefit-estimate
covered,great-eastern-wealth-advantage-4,GREAT Wealth Advantage 4,Great Eastern,supported,supported,kernel:current-death-benefit-estimate,true,true,true,great-eastern-wealth-advantage-4 + death benefit today,great wealth advantage 4 + death benefit today,great-eastern-wealth-advantage-4 + kernel:current-death-benefit-estimate
covered,great-eastern-wealth-advantage-4,GREAT Wealth Advantage 4,Great Eastern,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,great-eastern-wealth-advantage-4 + ti benefit today,great wealth advantage 4 + ti benefit today,great-eastern-wealth-advantage-4 + kernel:current-ti-benefit-estimate
covered,great-eastern-wealth-advantage-4,GREAT Wealth Advantage 4,Great Eastern,supported,supported,kernel:current-tpd-benefit-estimate,true,true,true,great-eastern-wealth-advantage-4 + tpd benefit today,great wealth advantage 4 + tpd benefit today,great-eastern-wealth-advantage-4 + kernel:current-tpd-benefit-estimate
covered,tokio-marine-harvest-builder-atfuture,Harvest Builder@Future,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-harvest-builder-atfuture + death benefit today,harvest builder@future + death benefit today,tokio-marine-harvest-builder-atfuture + kernel:current-death-benefit-estimate
covered,tokio-marine-harvest-flexi,Harvest Flexi,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-harvest-flexi + death benefit today,harvest flexi + death benefit today,tokio-marine-harvest-flexi + kernel:current-death-benefit-estimate
covered,tokio-marine-harvest-max,Harvest Max,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-harvest-max + death benefit today,harvest max + death benefit today,tokio-marine-harvest-max + kernel:current-death-benefit-estimate
covered,tokio-marine-harvest-pro,Harvest Pro,Tokio Marine,supported,supported,kernel:current-death-benefit-estimate,true,true,true,tokio-marine-harvest-pro + current death-benefit estimate,harvest pro + death benefit today,tokio-marine-harvest-pro + kernel:current-death-benefit-estimate
covered,hsbc-life-flexi-protector,HSBC Life Flexi Protector,HSBC Life,supported,supported,kernel:current-death-benefit-estimate,true,true,true,hsbc-life-flexi-protector + death benefit today,hsbc life flexi protector + death benefit today,hsbc-life-flexi-protector + kernel:current-death-benefit-estimate
covered,hsbc-life-flexi-protector,HSBC Life Flexi Protector,HSBC Life,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,hsbc-life-flexi-protector + ti benefit today,hsbc life flexi protector + ti benefit today,hsbc-life-flexi-protector + kernel:current-ti-benefit-estimate
covered,hsbc-life-flexi-protector,HSBC Life Flexi Protector,HSBC Life,supported,supported,kernel:current-tpd-benefit-estimate,true,true,true,hsbc-life-flexi-protector + current tpd benefit estimate,hsbc life flexi protector + tpd benefit today,hsbc-life-flexi-protector + kernel:current-tpd-benefit-estimate
covered,hsbc-life-wealth-invest-cash-srs,HSBC Life Wealth Invest (Cash/SRS),HSBC Life,supported,supported,kernel:current-death-benefit-estimate,true,true,true,hsbc life wealth invest + death benefit today,hsbc life wealth invest + death benefit today,hsbc life wealth invest + kernel:current-death-benefit-estimate
covered,hsbc-life-wealth-invest-cash-srs,HSBC Life Wealth Invest (Cash/SRS),HSBC Life,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,hsbc life wealth invest + ti benefit today,hsbc life wealth invest + ti benefit today,hsbc life wealth invest + kernel:current-ti-benefit-estimate
covered,hsbc-life-wealth-invest-cpf,HSBC Life Wealth Invest (CPF),HSBC Life,supported,supported,kernel:current-death-benefit-estimate,true,true,true,hsbc life wealth invest (cpf) + death benefit today,hsbc life wealth invest (cpf) + death benefit today,hsbc life wealth invest (cpf) + kernel:current-death-benefit-estimate
covered,hsbc-life-wealth-invest-cpf,HSBC Life Wealth Invest (CPF),HSBC Life,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,hsbc life wealth invest (cpf) + ti benefit today,hsbc life wealth invest (cpf) + ti benefit today,hsbc life wealth invest (cpf) + kernel:current-ti-benefit-estimate
covered,income-invest-flex,Invest Flex,Income Insurance,supported,supported,kernel:current-death-benefit-estimate,true,true,true,invest flex + death benefit today,invest flex + death benefit today,income-invest-flex + kernel:current-death-benefit-estimate
covered,income-invest-flex,Invest Flex,Income Insurance,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,invest flex + ti benefit today,invest flex + ti benefit today,income-invest-flex + kernel:current-ti-benefit-estimate
covered,etiqa-invest-flex-prime-ii,Invest flex prime II,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-invest-flex-prime-ii + death benefit today,invest flex prime ii + death benefit today,etiqa-invest-flex-prime-ii + kernel:current-death-benefit-estimate
covered,etiqa-invest-flex-prime-ii,Invest flex prime II,Etiqa,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,etiqa-invest-flex-prime-ii + ti benefit today,invest flex prime ii + ti benefit today,etiqa-invest-flex-prime-ii + kernel:current-ti-benefit-estimate
covered,etiqa-invest-flex-pro,Invest flex pro,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-invest-flex-pro + death benefit today,invest flex pro + death benefit today,etiqa-invest-flex-pro + kernel:current-death-benefit-estimate
covered,etiqa-invest-flex-pro,Invest flex pro,Etiqa,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,etiqa-invest-flex-pro + ti benefit today,invest flex pro + ti benefit today,etiqa-invest-flex-pro + kernel:current-ti-benefit-estimate
covered,income-invest-flex-trivantage,Invest Flex TriVantage,Income Insurance,supported,supported,kernel:current-death-benefit-estimate,true,true,true,income-invest-flex-trivantage + death benefit today,invest flex trivantage + death benefit today,income-invest-flex-trivantage + kernel:current-death-benefit-estimate
covered,income-invest-flex-trivantage,Invest Flex TriVantage,Income Insurance,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,income-invest-flex-trivantage + ti benefit today,invest flex trivantage + ti benefit today,income-invest-flex-trivantage + kernel:current-ti-benefit-estimate
covered,income-invest-flex-vantage,Invest Flex Vantage,Income Insurance,supported,supported,kernel:current-death-benefit-estimate,true,true,true,income-invest-flex-vantage + death benefit today,invest flex vantage + death benefit today,income-invest-flex-vantage + kernel:current-death-benefit-estimate
covered,income-invest-flex-vantage,Invest Flex Vantage,Income Insurance,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,income-invest-flex-vantage + ti benefit today,invest flex vantage + ti benefit today,income-invest-flex-vantage + kernel:current-ti-benefit-estimate
covered,etiqa-invest-flex-wealth-ii,Invest flex wealth II,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-invest-flex-wealth-ii + death benefit today,invest flex wealth ii + death benefit today,etiqa-invest-flex-wealth-ii + kernel:current-death-benefit-estimate
covered,etiqa-invest-flex-wealth-ii,Invest flex wealth II,Etiqa,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,etiqa-invest-flex-wealth-ii + ti benefit today,invest flex wealth ii + ti benefit today,etiqa-invest-flex-wealth-ii + kernel:current-ti-benefit-estimate
covered,etiqa-invest-plus-sp,Invest plus SP,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-invest-plus-sp + death benefit today,invest plus sp + death benefit today,etiqa-invest-plus-sp + kernel:current-death-benefit-estimate
covered,etiqa-invest-smart-flex-ii,Invest smart flex II,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-invest-smart-flex-ii + death benefit today,invest smart flex ii + death benefit today,etiqa-invest-smart-flex-ii + kernel:current-death-benefit-estimate
covered,etiqa-invest-smart-flex-ii,Invest smart flex II,Etiqa,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,etiqa-invest-smart-flex-ii + ti benefit today,invest smart flex ii + ti benefit today,etiqa-invest-smart-flex-ii + kernel:current-ti-benefit-estimate
covered,etiqa-invest-smart-vista,Invest Smart Vista,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-invest-smart-vista + death benefit today,invest smart vista + death benefit today,etiqa-invest-smart-vista + kernel:current-death-benefit-estimate
covered,etiqa-invest-smart-vista,Invest Smart Vista,Etiqa,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,etiqa-invest-smart-vista + ti benefit today,invest smart vista + ti benefit today,etiqa-invest-smart-vista + kernel:current-ti-benefit-estimate
covered,etiqa-invest-starter,Invest starter,Etiqa,supported,supported,kernel:current-death-benefit-estimate,true,true,true,etiqa-invest-starter + death benefit today,invest starter + death benefit today,etiqa-invest-starter + kernel:current-death-benefit-estimate
covered,etiqa-invest-starter,Invest starter,Etiqa,supported,supported,kernel:current-ti-benefit-estimate,true,true,true,etiqa-invest-starter + ti benefit today,invest starter + ti benefit today,etiqa-invest-starter + kernel:current-ti-benefit-estimate
